Sociodemographic cluster,2020 (first half) - Death rate (95% CI),2020 (first half) - RR (95% CI) - Model 1,2020 (first half) - RR (95% CI) - Model 2,2020 - Death rate (95% CI),2020 - RR (95% CI) - Model 1,2020 - RR (95% CI) - Model 2,2021 - Death rate (95% CI),2021 - RR (95% CI) - Model 1,2021 - RR (95% CI) - Model 2,2022 - Death rate (95% CI),2022 - RR (95% CI) - Model 1,2022 - RR (95% CI) - Model 2,2020-2022 - Death rate (95% CI),2020-2022 - RR (95% CI) - Model 1,2020-2022 - RR (95% CI) - Model 2
Urbanized,"9.24
(8.56-9.92)",1 [Reference],1 [Reference],"68.86
(66.9-70.83)",1 [Reference],1 [Reference],"243.29
(239.23-247.35)",1 [Reference],1 [Reference],"41.82
(40.58-43.07)",1 [Reference],1 [Reference],"353.97
(348.7-359.25)",1 [Reference],1 [Reference]
Urbanized with informal settlements,"47.19
(42.74-51.64)","1.36
(1.13-1.63)","1.01
(0.87-1.16)","115.8
(110.31-121.3)","1.06
(0.96-1.16)","1.04
(0.96-1.13)","192.68
(184.22-201.14)","0.79
(0.73-0.84)","0.81
(0.76-0.86)","27.89
(26.19-29.6)","0.9
(0.83-0.97)","0.95
(0.89-1.01)","336.37
(323.17-349.58)","0.85
(0.8-0.9)","0.85
(0.8-0.9)"
Semi-urbanized,"17.88
(16.83-18.93)","1.87
(1.63-2.14)","1.46
(1.29-1.65)","63.41
(61.57-65.26)","1.23
(1.15-1.31)","1.13
(1.07-1.2)","123.63
(120.71-126.54)","0.73
(0.7-0.76)","0.76
(0.72-0.79)","22.93
(22.13-23.74)","0.84
(0.79-0.89)","0.88
(0.83-0.93)","209.97
(206.09-213.85)","0.84
(0.81-0.87)","0.82
(0.79-0.85)"
Rural with high human development,"4.58
(3.72-5.43)","1.01
(0.83-1.23)","1.21
(1.0-1.46)","52.26
(48.76-55.77)","1.08
(1.0-1.18)","1.22
(1.13-1.32)","193.64
(186.67-200.62)","0.95
(0.9-1.0)","0.98
(0.93-1.03)","37.97
(35.51-40.43)","0.93
(0.86-1.01)","1.03
(0.95-1.11)","283.88
(275.03-292.72)","1.0
(0.95-1.04)","1.03
(0.99-1.08)"
Rural with low human development,"30.19
(27.0-33.39)","2.65
(2.12-3.32)","1.47
(1.21-1.79)","64.4
(59.79-69.01)","1.29
(1.15-1.44)","1.06
(0.95-1.17)","83.94
(78.38-89.51)","0.58
(0.54-0.63)","0.61
(0.56-0.66)","11.35
(10.2-12.5)","0.64
(0.57-0.73)","0.74
(0.66-0.83)","159.69
(150.64-168.75)","0.74
(0.69-0.79)","0.7
(0.65-0.74)"
Residual degrees of freedom,"nan
(nan-nan)",5539,5538,"nan
(nan-nan)",5539,5538,"nan
(nan-nan)",5539,5538,"nan
(nan-nan)",5539,5538,"nan
(nan-nan)",5539,5538
Deviance,"nan
(nan-nan)",5337.7,4527.98,"nan
(nan-nan)",6233.4,5658.02,"nan
(nan-nan)",5867.71,5789.12,"nan
(nan-nan)",6275.74,4681.19,"nan
(nan-nan)",5715.17,5637.35
Pearson chi-squared,"nan
(nan-nan)",6892.1,5781.98,"nan
(nan-nan)",5856.69,5790.51,"nan
(nan-nan)",5831.72,5930.56,"nan
(nan-nan)",5739.46,5094.09,"nan
(nan-nan)",5655.8,5728.63
$R_{CU}^{2}$,"nan
(nan-nan)",0.33,0.64,"nan
(nan-nan)",0.2,0.44,"nan
(nan-nan)",0.53,0.63,"nan
(nan-nan)",0.35,0.62,"nan
(nan-nan)",0.5,0.57
AIC,"nan
(nan-nan)",20391.05,18297.25,"nan
(nan-nan)",32933.61,31365.19,"nan
(nan-nan)",40064.49,39342.44,"nan
(nan-nan)",24906.0,22587.67,"nan
(nan-nan)",43358.52,42839.08
