Variable,2020 (first half),2020,2021,2022,2020-2022
Urbanized (probability),"0.82
(0.8-0.84)","1.0
(0.99-1.01)","1.17
(1.16-1.18)","1.11
(1.1-1.12)","1.14
(1.13-1.14)"
Urbanized with informal settlements (probability),"1.02
(1.0-1.04)","1.03
(1.02-1.04)","1.0
(1.0-1.01)","0.94
(0.93-0.95)","1.02
(1.01-1.03)"
Semi-urbanized (probability),"1.16
(1.14-1.19)","0.98
(0.97-0.99)","0.89
(0.88-0.89)","0.91
(0.89-0.92)","0.9
(0.9-0.91)"
Rural with high human development (probability),"0.93
(0.89-0.98)","1.05
(1.03-1.07)","1.07
(1.06-1.08)","1.2
(1.18-1.23)","1.06
(1.05-1.07)"
Rural with low human development (probability),"1.15
(1.12-1.17)","0.95
(0.94-0.97)","0.86
(0.85-0.87)","0.82
(0.8-0.83)","0.88
(0.87-0.88)"
Days since first death,"2.49
(2.41-2.58)","1.67
(1.63-1.71)","1.26
(1.24-1.28)","2.26
(2.16-2.37)","1.19
(1.17-1.21)"
Residual degrees of freedom,5554,5554,5554,5554,5554
Deviance,4559.35,5748.75,5715.11,4665.64,5579.56
Pearson chi-squared,5650.48,5978.82,5825.26,5304.86,5642.19
$R_{CU}^{2}$,0.6,0.4,0.59,0.52,0.51
AIC,18553.88,31605.42,39569.35,23265.91,43192.92
