Variable,2020 (first half),2020,2021,2022,2020-2022
% population 60+ years,"0.92
(0.88-0.97)","1.09
(1.07-1.12)","1.09
(1.07-1.11)","1.35
(1.32-1.37)","1.1
(1.08-1.11)"
% urban population,"1.07
(1.01-1.14)","1.11
(1.07-1.14)","1.13
(1.1-1.15)","1.09
(1.06-1.13)","1.13
(1.11-1.15)"
Population density (inhabitants/km²),"1.03
(1.01-1.06)","1.01
(0.99-1.02)","0.99
(0.98-1.01)","0.99
(0.98-1.0)","1.0
(0.99-1.01)"
% male population,"0.99
(0.95-1.03)","1.02
(1.0-1.04)","1.06
(1.04-1.07)","1.07
(1.05-1.09)","1.04
(1.02-1.05)"
% indigenous population,"1.02
(1.0-1.05)","1.05
(1.03-1.06)","1.03
(1.02-1.04)","1.03
(1.01-1.05)","1.04
(1.03-1.05)"
Per capita income (BRL),"0.74
(0.7-0.78)","0.94
(0.92-0.97)","1.02
(1.0-1.04)","1.03
(1.01-1.06)","1.01
(0.99-1.02)"
Gini coefficient,"1.03
(0.98-1.07)","0.98
(0.96-1.0)","0.99
(0.98-1.01)","0.97
(0.95-0.99)","0.99
(0.98-1.01)"
% informal settlement households,"1.09
(1.06-1.12)","1.04
(1.02-1.05)","1.0
(0.99-1.01)","0.99
(0.98-1.0)","1.01
(1.0-1.02)"
Population density in informal settlement (inhabitants/ha),"0.99
(0.96-1.01)","1.0
(0.98-1.01)","1.01
(1.0-1.02)","1.0
(0.98-1.01)","1.01
(1.0-1.02)"
% sanitation-related hospitalizations,"1.0
(0.97-1.03)","0.98
(0.97-1.0)","1.0
(0.99-1.01)","0.98
(0.96-1.0)","0.98
(0.97-0.99)"
% self-employed workers,"1.13
(1.08-1.18)","1.05
(1.02-1.07)","0.99
(0.98-1.01)","0.94
(0.92-0.96)","1.01
(0.99-1.02)"
Unemployment rate,"1.11
(1.06-1.15)","1.01
(0.99-1.03)","0.95
(0.94-0.96)","0.98
(0.95-1.0)","0.97
(0.96-0.99)"
% commerce workers,"0.93
(0.89-0.97)","0.98
(0.96-1.0)","0.98
(0.96-1.0)","0.94
(0.92-0.97)","1.0
(0.99-1.01)"
% service workers,"1.1
(1.05-1.17)","1.09
(1.06-1.12)","1.06
(1.03-1.08)","0.99
(0.96-1.02)","1.05
(1.03-1.06)"
% industry workers,"1.1
(1.05-1.15)","1.06
(1.03-1.08)","1.01
(0.99-1.03)","0.96
(0.94-0.99)","1.02
(1.0-1.03)"
Expected years of schooling at age 18,"1.07
(1.02-1.11)","0.99
(0.97-1.01)","1.07
(1.05-1.09)","1.05
(1.03-1.07)","1.04
(1.03-1.05)"
Days since first death,"2.4
(2.32-2.48)","1.63
(1.59-1.67)","1.28
(1.26-1.3)","2.37
(2.27-2.48)","1.17
(1.16-1.19)"
