,code_municipality_7,cluster,cluster_label
0,1100015,0,Semi-urbanized
1,1100023,1,Urbanized
2,1100031,2,Rural with high human development
3,1100049,1,Urbanized
4,1100056,1,Urbanized
5,1100064,1,Urbanized
6,1100072,2,Rural with high human development
7,1100080,0,Semi-urbanized
8,1100098,1,Urbanized
9,1100106,0,Semi-urbanized
10,1100114,1,Urbanized
11,1100122,1,Urbanized
12,1100130,0,Semi-urbanized
13,1100148,0,Semi-urbanized
14,1100155,1,Urbanized
15,1100189,1,Urbanized
16,1100205,3,Urbanized with informal settlements
17,1100254,1,Urbanized
18,1100262,0,Semi-urbanized
19,1100288,1,Urbanized
20,1100296,2,Rural with high human development
21,1100304,1,Urbanized
22,1100320,0,Semi-urbanized
23,1100338,0,Semi-urbanized
24,1100346,0,Semi-urbanized
25,1100379,0,Semi-urbanized
26,1100403,0,Semi-urbanized
27,1100452,0,Semi-urbanized
28,1100502,0,Semi-urbanized
29,1100601,0,Semi-urbanized
30,1100700,0,Semi-urbanized
31,1100809,0,Semi-urbanized
32,1100908,2,Rural with high human development
33,1100924,0,Semi-urbanized
34,1100940,0,Semi-urbanized
35,1101005,0,Semi-urbanized
36,1101104,0,Semi-urbanized
37,1101203,2,Rural with high human development
38,1101302,0,Semi-urbanized
39,1101401,0,Semi-urbanized
40,1101435,0,Semi-urbanized
41,1101450,0,Semi-urbanized
42,1101468,0,Semi-urbanized
43,1101476,2,Rural with high human development
44,1101484,2,Rural with high human development
45,1101492,0,Semi-urbanized
46,1101500,0,Semi-urbanized
47,1101559,2,Rural with high human development
48,1101609,0,Semi-urbanized
49,1101708,0,Semi-urbanized
50,1101757,0,Semi-urbanized
51,1101807,2,Rural with high human development
52,1200013,0,Semi-urbanized
53,1200054,4,Rural with low human development
54,1200104,0,Semi-urbanized
55,1200138,0,Semi-urbanized
56,1200179,0,Semi-urbanized
57,1200203,3,Urbanized with informal settlements
58,1200252,0,Semi-urbanized
59,1200302,4,Rural with low human development
60,1200328,4,Rural with low human development
61,1200336,4,Rural with low human development
62,1200344,4,Rural with low human development
63,1200351,4,Rural with low human development
64,1200385,0,Semi-urbanized
65,1200393,4,Rural with low human development
66,1200401,3,Urbanized with informal settlements
67,1200427,4,Rural with low human development
68,1200435,4,Rural with low human development
69,1200450,0,Semi-urbanized
70,1200500,0,Semi-urbanized
71,1200609,4,Rural with low human development
72,1200708,0,Semi-urbanized
73,1200807,0,Semi-urbanized
74,1300029,4,Rural with low human development
75,1300060,4,Rural with low human development
76,1300086,4,Rural with low human development
77,1300102,4,Rural with low human development
78,1300144,0,Semi-urbanized
79,1300201,4,Rural with low human development
80,1300300,4,Rural with low human development
81,1300409,4,Rural with low human development
82,1300508,4,Rural with low human development
83,1300607,4,Rural with low human development
84,1300631,4,Rural with low human development
85,1300680,4,Rural with low human development
86,1300706,4,Rural with low human development
87,1300805,4,Rural with low human development
88,1300839,4,Rural with low human development
89,1300904,4,Rural with low human development
90,1301001,4,Rural with low human development
91,1301100,4,Rural with low human development
92,1301159,4,Rural with low human development
93,1301209,4,Rural with low human development
94,1301308,4,Rural with low human development
95,1301407,4,Rural with low human development
96,1301506,4,Rural with low human development
97,1301605,4,Rural with low human development
98,1301654,4,Rural with low human development
99,1301704,4,Rural with low human development
100,1301803,4,Rural with low human development
101,1301852,3,Urbanized with informal settlements
102,1301902,3,Urbanized with informal settlements
103,1301951,4,Rural with low human development
104,1302009,4,Rural with low human development
105,1302108,4,Rural with low human development
106,1302207,4,Rural with low human development
107,1302306,4,Rural with low human development
108,1302405,4,Rural with low human development
109,1302504,4,Rural with low human development
110,1302553,4,Rural with low human development
111,1302603,3,Urbanized with informal settlements
112,1302702,4,Rural with low human development
113,1302801,4,Rural with low human development
114,1302900,4,Rural with low human development
115,1303007,4,Rural with low human development
116,1303106,4,Rural with low human development
117,1303205,4,Rural with low human development
118,1303304,4,Rural with low human development
119,1303403,3,Urbanized with informal settlements
120,1303502,4,Rural with low human development
121,1303536,0,Semi-urbanized
122,1303569,0,Semi-urbanized
123,1303601,4,Rural with low human development
124,1303700,4,Rural with low human development
125,1303809,4,Rural with low human development
126,1303908,4,Rural with low human development
127,1303957,4,Rural with low human development
128,1304005,4,Rural with low human development
129,1304062,4,Rural with low human development
130,1304104,4,Rural with low human development
131,1304203,3,Urbanized with informal settlements
132,1304237,4,Rural with low human development
133,1304260,4,Rural with low human development
134,1304302,4,Rural with low human development
135,1304401,4,Rural with low human development
136,1400027,4,Rural with low human development
137,1400050,4,Rural with low human development
138,1400100,3,Urbanized with informal settlements
139,1400159,4,Rural with low human development
140,1400175,0,Semi-urbanized
141,1400209,0,Semi-urbanized
142,1400233,0,Semi-urbanized
143,1400282,4,Rural with low human development
144,1400308,0,Semi-urbanized
145,1400407,4,Rural with low human development
146,1400456,4,Rural with low human development
147,1400472,0,Semi-urbanized
148,1400506,0,Semi-urbanized
149,1400605,0,Semi-urbanized
150,1400704,4,Rural with low human development
151,1500107,0,Semi-urbanized
152,1500131,0,Semi-urbanized
153,1500206,4,Rural with low human development
154,1500305,4,Rural with low human development
155,1500347,0,Semi-urbanized
156,1500404,4,Rural with low human development
157,1500503,4,Rural with low human development
158,1500602,3,Urbanized with informal settlements
159,1500701,4,Rural with low human development
160,1500800,3,Urbanized with informal settlements
161,1500859,4,Rural with low human development
162,1500909,4,Rural with low human development
163,1500958,4,Rural with low human development
164,1501006,4,Rural with low human development
165,1501105,4,Rural with low human development
166,1501204,4,Rural with low human development
167,1501253,0,Semi-urbanized
168,1501303,0,Semi-urbanized
169,1501402,3,Urbanized with informal settlements
170,1501451,0,Semi-urbanized
171,1501501,3,Urbanized with informal settlements
172,1501576,0,Semi-urbanized
173,1501600,0,Semi-urbanized
174,1501709,0,Semi-urbanized
175,1501725,0,Semi-urbanized
176,1501758,0,Semi-urbanized
177,1501782,0,Semi-urbanized
178,1501808,4,Rural with low human development
179,1501907,4,Rural with low human development
180,1501956,4,Rural with low human development
181,1502004,4,Rural with low human development
182,1502103,4,Rural with low human development
183,1502152,0,Semi-urbanized
184,1502202,0,Semi-urbanized
185,1502301,0,Semi-urbanized
186,1502400,3,Urbanized with informal settlements
187,1502509,4,Rural with low human development
188,1502608,0,Semi-urbanized
189,1502707,0,Semi-urbanized
190,1502756,4,Rural with low human development
191,1502764,4,Rural with low human development
192,1502772,0,Semi-urbanized
193,1502806,4,Rural with low human development
194,1502855,4,Rural with low human development
195,1502905,0,Semi-urbanized
196,1502939,0,Semi-urbanized
197,1502954,0,Semi-urbanized
198,1503002,4,Rural with low human development
199,1503044,0,Semi-urbanized
200,1503077,4,Rural with low human development
201,1503093,0,Semi-urbanized
202,1503101,4,Rural with low human development
203,1503200,0,Semi-urbanized
204,1503309,4,Rural with low human development
205,1503408,0,Semi-urbanized
206,1503457,4,Rural with low human development
207,1503507,0,Semi-urbanized
208,1503606,0,Semi-urbanized
209,1503705,0,Semi-urbanized
210,1503754,4,Rural with low human development
211,1503804,0,Semi-urbanized
212,1503903,4,Rural with low human development
213,1504000,4,Rural with low human development
214,1504059,0,Semi-urbanized
215,1504109,0,Semi-urbanized
216,1504208,3,Urbanized with informal settlements
217,1504307,0,Semi-urbanized
218,1504406,0,Semi-urbanized
219,1504422,3,Urbanized with informal settlements
220,1504455,0,Semi-urbanized
221,1504505,4,Rural with low human development
222,1504604,4,Rural with low human development
225,1504802,0,Semi-urbanized
226,1504901,4,Rural with low human development
227,1504950,4,Rural with low human development
228,1504976,0,Semi-urbanized
229,1505007,0,Semi-urbanized
230,1505031,0,Semi-urbanized
231,1505064,0,Semi-urbanized
232,1505106,4,Rural with low human development
233,1505205,4,Rural with low human development
234,1505304,0,Semi-urbanized
235,1505403,0,Semi-urbanized
236,1505437,0,Semi-urbanized
237,1505486,4,Rural with low human development
238,1505494,0,Semi-urbanized
239,1505502,3,Urbanized with informal settlements
240,1505536,3,Urbanized with informal settlements
241,1505551,0,Semi-urbanized
242,1505601,0,Semi-urbanized
243,1505635,0,Semi-urbanized
244,1505650,0,Semi-urbanized
245,1505700,4,Rural with low human development
246,1505809,4,Rural with low human development
247,1505908,4,Rural with low human development
248,1506005,4,Rural with low human development
249,1506104,0,Semi-urbanized
250,1506112,0,Semi-urbanized
251,1506138,3,Urbanized with informal settlements
252,1506161,0,Semi-urbanized
253,1506187,0,Semi-urbanized
254,1506195,0,Semi-urbanized
255,1506203,0,Semi-urbanized
256,1506302,0,Semi-urbanized
257,1506351,0,Semi-urbanized
258,1506401,4,Rural with low human development
259,1506500,0,Semi-urbanized
260,1506559,0,Semi-urbanized
261,1506583,0,Semi-urbanized
262,1506609,0,Semi-urbanized
263,1506708,0,Semi-urbanized
264,1506807,3,Urbanized with informal settlements
265,1506906,0,Semi-urbanized
266,1507003,0,Semi-urbanized
267,1507102,0,Semi-urbanized
268,1507151,0,Semi-urbanized
269,1507201,4,Rural with low human development
270,1507300,0,Semi-urbanized
271,1507409,0,Semi-urbanized
272,1507458,0,Semi-urbanized
273,1507466,0,Semi-urbanized
274,1507474,0,Semi-urbanized
275,1507508,4,Rural with low human development
276,1507607,0,Semi-urbanized
277,1507706,4,Rural with low human development
278,1507755,0,Semi-urbanized
279,1507805,4,Rural with low human development
280,1507904,0,Semi-urbanized
281,1507953,4,Rural with low human development
282,1507961,0,Semi-urbanized
283,1507979,0,Semi-urbanized
284,1508001,0,Semi-urbanized
285,1508035,4,Rural with low human development
286,1508050,0,Semi-urbanized
287,1508084,0,Semi-urbanized
288,1508100,3,Urbanized with informal settlements
289,1508126,4,Rural with low human development
290,1508159,0,Semi-urbanized
291,1508209,0,Semi-urbanized
292,1508308,4,Rural with low human development
293,1508357,0,Semi-urbanized
294,1508407,0,Semi-urbanized
295,1600055,0,Semi-urbanized
296,1600105,4,Rural with low human development
297,1600154,4,Rural with low human development
298,1600204,4,Rural with low human development
299,1600212,4,Rural with low human development
300,1600238,0,Semi-urbanized
301,1600253,4,Rural with low human development
302,1600279,3,Urbanized with informal settlements
303,1600303,3,Urbanized with informal settlements
304,1600402,4,Rural with low human development
305,1600501,4,Rural with low human development
306,1600535,0,Semi-urbanized
