,code_municipality_7,municipality,percentual_votes_for_bolsonaro
0,1100015,Alta Floresta D'Oeste (RO),64.14370917353025
1,1100023,Ariquemes (RO),71.79003828439279
2,1100031,Cabixi (RO),61.41425389755011
3,1100049,Cacoal (RO),67.89014172735102
4,1100056,Cerejeiras (RO),72.98913585168943
5,1100064,Colorado do Oeste (RO),66.3193748747746
6,1100072,Corumbiara (RO),56.59477866061295
7,1100080,Costa Marques (RO),56.365219915807806
8,1100098,Espigão D'Oeste (RO),68.69689161778412
9,1100106,Guajará-Mirim (RO),57.99542028432402
10,1100114,Jaru (RO),69.01431901431901
11,1100122,Ji-Paraná (RO),68.18626182466431
12,1100130,Machadinho D'Oeste (RO),64.20619554695062
13,1100148,Nova Brasilândia D'Oeste (RO),65.687393040502
14,1100155,Ouro Preto do Oeste (RO),64.56433516352351
15,1100189,Pimenta Bueno (RO),67.58427793316649
16,1100205,Porto Velho (RO),55.21253927552458
17,1100254,Presidente Médici (RO),65.85958517747115
18,1100262,Rio Crespo (RO),68.64796986186688
19,1100288,Rolim de Moura (RO),65.93410269275799
20,1100296,Santa Luzia D'Oeste (RO),58.49440488301119
21,1100304,Vilhena (RO),69.7984427853726
22,1100320,São Miguel do Guaporé (RO),60.67754660066517
23,1100338,Nova Mamoré (RO),71.87010078387458
24,1100346,Alvorada D'Oeste (RO),57.31809981960313
25,1100379,Alto Alegre dos Parecis (RO),61.30629933446835
26,1100403,Alto Paraíso (RO),69.77283263792305
27,1100452,Buritis (RO),73.12953041285849
28,1100502,Novo Horizonte do Oeste (RO),57.51333455949973
29,1100601,Cacaulândia (RO),68.4509869521579
30,1100700,Campo Novo de Rondônia (RO),65.53459119496856
31,1100809,Candeias do Jamari (RO),54.35639229422067
32,1100908,Castanheiras (RO),53.83275261324042
33,1100924,Chupinguaia (RO),61.00739012057566
34,1100940,Cujubim (RO),70.7449494949495
35,1101005,Governador Jorge Teixeira (RO),63.04227432158021
36,1101104,Itapuã do Oeste (RO),54.38404208680403
37,1101203,Ministro Andreazza (RO),59.07619253183682
38,1101302,Mirante da Serra (RO),56.85613605025279
39,1101401,Monte Negro (RO),68.02190280629705
40,1101435,Nova União (RO),51.52468538238142
41,1101450,Parecis (RO),54.07794294897549
42,1101468,Pimenteiras do Oeste (RO),59.814323607427056
43,1101476,Primavera de Rondônia (RO),65.54918394353771
44,1101484,São Felipe D'Oeste (RO),60.26315789473684
45,1101492,São Francisco do Guaporé (RO),65.67895971008313
46,1101500,Seringueiras (RO),59.43281566509116
47,1101559,Teixeirópolis (RO),57.32107682206172
48,1101609,Theobroma (RO),60.36020583190395
49,1101708,Urupá (RO),60.16427104722793
50,1101757,Vale do Anari (RO),64.59168600970669
51,1101807,Vale do Paraíso (RO),58.70299482098626
52,1200013,Acrelândia (AC),71.82229535170713
53,1200054,Assis Brasil (AC),53.67603108188882
54,1200104,Brasiléia (AC),62.89468253422301
55,1200138,Bujari (AC),59.81147105682422
56,1200179,Capixaba (AC),63.96367174829712
57,1200203,Cruzeiro do Sul (AC),66.38450163941452
58,1200252,Epitaciolândia (AC),65.35171580960049
59,1200302,Feijó (AC),39.050081998233885
60,1200328,Jordão (AC),36.52362584378013
61,1200336,Mâncio Lima (AC),61.22468294529624
62,1200344,Manoel Urbano (AC),54.53125
63,1200351,Marechal Thaumaturgo (AC),50.07246376811594
64,1200385,Plácido de Castro (AC),64.12931212559388
65,1200393,Porto Walter (AC),37.89566755083996
66,1200401,Rio Branco (AC),61.838367455337874
67,1200427,Rodrigues Alves (AC),72.03650758742027
68,1200435,Santa Rosa do Purus (AC),39.38697318007663
69,1200450,Senador Guiomard (AC),64.23347398030941
70,1200500,Sena Madureira (AC),63.752950082379655
71,1200609,Tarauacá (AC),47.371419692339565
72,1200708,Xapuri (AC),53.10337705256636
73,1200807,Porto Acre (AC),66.75489176670763
74,1300029,Alvarães (AM),23.03610566385973
75,1300060,Amaturá (AM),21.23959296947271
76,1300086,Anamã (AM),31.569992266047954
77,1300102,Anori (AM),37.37201365187713
78,1300144,Apuí (AM),57.93450881612091
79,1300201,Atalaia do Norte (AM),16.96803358088473
80,1300300,Autazes (AM),31.32535602165704
81,1300409,Barcelos (AM),30.418100026462024
82,1300508,Barreirinha (AM),7.210705537965231
83,1300607,Benjamin Constant (AM),14.013115141489926
84,1300631,Beruri (AM),32.89183222958057
85,1300680,Boa Vista do Ramos (AM),10.172467210575237
86,1300706,Boca do Acre (AM),47.00670645419307
87,1300805,Borba (AM),19.49791804960473
