Coefficients,2020 (first half),2020,2021,2022,2020-2022
Intercept,"-0.008
(-0.023, 0.007)","0.003
(-0.005, 0.010)","0.003
(-0.002, 0.008)","0.003
(-0.004, 0.010)","0.001
(-0.004, 0.005)"
Urbanized with informal settlements,"0.006
(-0.024, 0.036)","0.005
(-0.015, 0.024)","-0.002
(-0.016, 0.012)","0.004
(-0.011, 0.019)","0.004
(-0.004, 0.013)"
Semi-urbanized,"0.010
(-0.014, 0.034)","-0.001
(-0.012, 0.010)","-0.006
(-0.015, 0.002)","0.002
(-0.010, 0.014)","-0.004
(-0.012, 0.004)"
Rural with high human development,"0.017
(-0.022, 0.057)","0.001
(-0.013, 0.015)","-0.006
(-0.015, 0.004)","-0.006
(-0.018, 0.006)","0.003
(-0.006, 0.012)"
Rural with low human development,"0.011
(-0.023, 0.045)","-0.008
(-0.027, 0.011)","-0.006
(-0.024, 0.013)","0.003
(-0.022, 0.029)","-0.007
(-0.018, 0.004)"
% population 60+ years,"0.001
(-0.009, 0.011)","-0.001
(-0.005, 0.003)","-0.000
(-0.004, 0.003)","0.000
(-0.004, 0.005)","-0.003
(-0.006, -0.000)"
% urban population,"0.002
(-0.011, 0.014)","-0.003
(-0.009, 0.002)","-0.000
(-0.004, 0.004)","-0.005
(-0.012, 0.001)","-0.002
(-0.005, 0.001)"
Population density (inhabitants/km²),"-0.001
(-0.004, 0.003)","0.000
(-0.001, 0.002)","0.000
(-0.001, 0.001)","-0.002
(-0.005, 0.000)","-0.001
(-0.002, 0.001)"
% male population,"0.004
(-0.005, 0.012)","0.002
(-0.002, 0.005)","0.001
(-0.003, 0.005)","0.004
(0.001, 0.008)","-0.001
(-0.003, 0.001)"
% indigenous population,"0.003
(-0.003, 0.009)","0.001
(-0.002, 0.003)","-0.001
(-0.004, 0.002)","0.003
(-0.001, 0.007)","-0.001
(-0.003, 0.001)"
Gini coefficient,"0.005
(-0.002, 0.013)","-0.004
(-0.009, 0.000)","0.002
(-0.001, 0.004)","-0.004
(-0.008, -0.001)","0.000
(-0.002, 0.003)"
% informal settlement households,"0.002
(-0.001, 0.006)","0.001
(-0.001, 0.003)","-0.001
(-0.003, 0.002)","0.000
(-0.002, 0.003)","-0.001
(-0.002, 0.000)"
Population density in informal settlement (inhabitants/ha),"0.000
(-0.004, 0.005)","-0.001
(-0.003, 0.001)","0.001
(-0.001, 0.003)","0.001
(-0.002, 0.005)","0.000
(-0.001, 0.002)"
% sanitation-related hospitalizations,"0.001
(-0.004, 0.007)","0.000
(-0.002, 0.003)","-0.001
(-0.003, 0.002)","-0.003
(-0.006, 0.000)","-0.001
(-0.003, 0.001)"
% self-employed workers,"-0.010
(-0.018, -0.001)","-0.000
(-0.005, 0.004)","-0.002
(-0.006, 0.002)","0.001
(-0.004, 0.006)","0.000
(-0.003, 0.003)"
Unemployment rate,"0.000
(-0.007, 0.008)","0.001
(-0.003, 0.006)","-0.000
(-0.003, 0.003)","0.002
(-0.001, 0.006)","0.001
(-0.001, 0.003)"
% commerce workers,"0.003
(-0.006, 0.011)","0.001
(-0.003, 0.006)","0.001
(-0.002, 0.005)","0.000
(-0.004, 0.004)","0.001
(-0.002, 0.004)"
% service workers,"-0.009
(-0.021, 0.003)","-0.001
(-0.006, 0.004)","-0.002
(-0.006, 0.002)","0.005
(0.000, 0.010)","-0.002
(-0.005, 0.002)"
% industry workers,"-0.004
(-0.014, 0.006)","-0.001
(-0.006, 0.004)","-0.000
(-0.003, 0.002)","0.000
(-0.004, 0.004)","-0.000
(-0.003, 0.002)"
Expected years of schooling at age 18,"0.012
(0.003, 0.021)","-0.000
(-0.004, 0.003)","0.000
(-0.003, 0.004)","0.000
(-0.003, 0.004)","-0.001
(-0.003, 0.002)"
% people fully vaccinated,"0.000
(0.000, 0.000)","0.000
(0.000, 0.000)","-0.000
(-0.003, 0.002)","0.002
(-0.001, 0.005)","0.001
(-0.002, 0.004)"
% votes for Bolsonaro,"0.003
(-0.005, 0.011)","0.003
(-0.002, 0.008)","0.001
(-0.003, 0.005)","0.000
(-0.005, 0.005)","0.000
(-0.003, 0.004)"
