,2020 (first half),2020,2021,2022,2020-2022
Intercept,"0.0
(-0.0, 0.0)","-0.0
(-0.0, 0.0)","-0.0
(-0.0, 0.0)","-0.0
(-0.0, 0.0)","0.0
(-0.0, 0.0)"
Cluster urbanized with informal settlements,"0.0
(-0.028, 0.028)","-0.0
(-0.012, 0.012)","-0.003
(-0.014, 0.007)","0.004
(-0.01, 0.018)","-0.006
(-0.016, 0.003)"
Cluster semi-urbanized,"-0.027
(-0.051, -0.003)","0.006
(-0.009, 0.021)","0.001
(-0.006, 0.008)","0.004
(-0.004, 0.012)","-0.004
(-0.011, 0.003)"
Cluster rural with high human development,"-0.038
(-0.072, -0.003)","0.015
(-0.007, 0.037)","0.002
(-0.007, 0.012)","0.008
(-0.009, 0.025)","-0.002
(-0.011, 0.007)"
Cluster  rural with low human development,"-0.057
(-0.109, -0.004)","0.001
(-0.021, 0.024)","0.003
(-0.009, 0.014)","0.014
(-0.003, 0.031)","-0.003
(-0.013, 0.007)"
% population 60+ years,"0.007
(-0.003, 0.017)","-0.001
(-0.006, 0.004)","-0.002
(-0.005, 0.002)","-0.002
(-0.008, 0.004)","0.002
(-0.002, 0.006)"
% urban population,"0.0
(-0.013, 0.014)","0.004
(-0.002, 0.011)","-0.001
(-0.005, 0.004)","0.005
(-0.001, 0.01)","-0.002
(-0.006, 0.003)"
Population density (inhabitants/km²),"-0.002
(-0.008, 0.004)","-0.0
(-0.002, 0.002)","0.0
(-0.001, 0.002)","-0.002
(-0.005, -0.0)","-0.001
(-0.003, 0.001)"
% male population,"0.006
(-0.002, 0.013)","0.0
(-0.003, 0.004)","0.005
(0.002, 0.009)","-0.0
(-0.004, 0.004)","0.002
(-0.001, 0.004)"
% indigenous population,"-0.001
(-0.007, 0.004)","-0.0
(-0.004, 0.003)","-0.002
(-0.005, 0.001)","-0.003
(-0.008, 0.002)","0.001
(-0.001, 0.003)"
Per capita income (BRL),"-0.011
(-0.021, -0.002)","-0.0
(-0.005, 0.005)","0.002
(-0.003, 0.006)","-0.001
(-0.005, 0.004)","-0.005
(-0.009, -0.001)"
Gini coefficient,"0.006
(-0.002, 0.014)","-0.0
(-0.003, 0.003)","-0.0
(-0.003, 0.003)","-0.002
(-0.006, 0.002)","0.002
(-0.001, 0.005)"
% informal settlement households,"0.001
(-0.004, 0.006)","0.001
(-0.001, 0.003)","-0.0
(-0.002, 0.002)","-0.001
(-0.003, 0.001)","0.001
(-0.001, 0.002)"
Population density in informal settlement (inhabitants/ha),"0.003
(-0.001, 0.007)","0.0
(-0.003, 0.003)","0.001
(-0.001, 0.002)","0.0
(-0.002, 0.003)","0.002
(-0.0, 0.004)"
% sanitation-related hospitalizations,"0.003
(-0.003, 0.008)","-0.0
(-0.003, 0.002)","-0.002
(-0.005, 0.001)","-0.001
(-0.005, 0.002)","-0.002
(-0.004, 0.0)"
% self-employed workers,"-0.001
(-0.008, 0.007)","-0.002
(-0.006, 0.002)","0.003
(-0.0, 0.007)","0.001
(-0.003, 0.005)","0.0
(-0.002, 0.003)"
Unemployment rate,"-0.009
(-0.015, -0.002)","-0.001
(-0.005, 0.002)","0.002
(-0.0, 0.005)","-0.0
(-0.004, 0.004)","0.0
(-0.002, 0.003)"
% commerce workers,"0.003
(-0.005, 0.011)","-0.001
(-0.005, 0.002)","-0.0
(-0.003, 0.003)","-0.003
(-0.006, 0.0)","0.001
(-0.002, 0.004)"
% service workers,"0.006
(-0.005, 0.017)","-0.003
(-0.01, 0.004)","0.001
(-0.003, 0.004)","0.003
(-0.002, 0.008)","0.002
(-0.001, 0.005)"
% industry workers,"0.005
(-0.003, 0.014)","-0.0
(-0.004, 0.004)","0.002
(-0.002, 0.005)","0.003
(-0.002, 0.007)","0.001
(-0.001, 0.004)"
Expected years of schooling at age 18,"-0.009
(-0.017, -0.001)","-0.002
(-0.007, 0.002)","0.001
(-0.003, 0.004)","-0.003
(-0.006, 0.0)","0.003
(0.0, 0.005)"
Days since first death,"-0.002
(-0.021, 0.016)","0.004
(-0.004, 0.012)","0.007
(0.003, 0.012)","0.002
(-0.013, 0.018)","-0.0
(-0.003, 0.003)"
