"Variable","2020 (first half)",2020,2021,2022,"2020-2022"
"Intercept","-0.0
(-0.0, 0.0)","-0.0
(-0.0, 0.0)","-0.0
(-0.0, 0.0)","0.0
(-0.0, 0.0)","0.0
(-0.0, 0.0)"
"P(CUrbanized|i)","0.003
(-0.006, 0.013)","0.001
(-0.003, 0.005)","-0.001
(-0.004, 0.002)","0.001
(-0.003, 0.005)","0.0
(-0.002, 0.002)"
"P(CUrbanized with informal settlements|i)","0.002
(-0.007, 0.012)","0.002
(-0.002, 0.005)","-0.001
(-0.003, 0.001)","0.001
(-0.003, 0.005)","0.002
(-0.002, 0.006)"
"P(CSemi-urbanized|i)","-0.003
(-0.011, 0.005)","0.002
(-0.001, 0.005)","0.0
(-0.002, 0.003)","-0.002
(-0.005, 0.002)","0.0
(-0.002, 0.002)"
"P(CRural with high human development|i)","0.001
(-0.014, 0.015)","-0.005
(-0.01, 0.001)","0.001
(-0.002, 0.004)","0.002
(-0.004, 0.007)","-0.002
(-0.007, 0.002)"
"P(CRural with low human development|i)","-0.001
(-0.009, 0.006)","-0.001
(-0.004, 0.003)","0.0
(-0.003, 0.003)","-0.001
(-0.005, 0.003)","0.0
(-0.001, 0.002)"
"% population 60+ years","-0.008
(-0.018, 0.002)","-0.0
(-0.005, 0.005)","-0.0
(-0.004, 0.004)","-0.003
(-0.01, 0.004)","0.002
(-0.002, 0.005)"
"% urban population","0.003
(-0.011, 0.016)","-0.006
(-0.013, -0.0)","0.001
(-0.004, 0.005)","0.002
(-0.005, 0.01)","0.001
(-0.003, 0.005)"
"Population density 
(inhabitants/km²)","-0.0
(-0.004, 0.004)","-0.001
(-0.004, 0.001)","0.001
(-0.001, 0.003)","-0.002
(-0.005, 0.001)","-0.001
(-0.003, 0.002)"
"% male population","0.001
(-0.006, 0.009)","-0.002
(-0.006, 0.002)","0.002
(-0.001, 0.006)","0.0
(-0.004, 0.005)","-0.0
(-0.004, 0.003)"
"% indigenous population","-0.003
(-0.008, 0.002)","-0.001
(-0.004, 0.002)","0.001
(-0.001, 0.004)","-0.0
(-0.005, 0.004)","-0.0
(-0.002, 0.002)"
"Per capita income (BRL)","-0.0
(-0.011, 0.011)","-0.001
(-0.006, 0.004)","0.001
(-0.003, 0.005)","-0.008
(-0.012, -0.003)","0.001
(-0.002, 0.004)"
"Gini coefficient","0.003
(-0.007, 0.013)","0.001
(-0.002, 0.005)","-0.001
(-0.004, 0.002)","0.003
(-0.001, 0.007)","0.0
(-0.003, 0.003)"
"% informal settlement 
Households","0.001
(-0.006, 0.007)","-0.001
(-0.002, 0.001)","0.0
(-0.002, 0.002)","-0.002
(-0.005, 0.0)","-0.001
(-0.002, 0.001)"
"Population density in informal 
settlement (inhabitants/ha)","0.0
(-0.005, 0.006)","-0.0
(-0.003, 0.002)","-0.0
(-0.002, 0.002)","0.002
(-0.001, 0.005)","0.0
(-0.002, 0.003)"
"% sanitation-related 
Hospitalizations","-0.002
(-0.009, 0.004)","0.0
(-0.004, 0.004)","0.002
(-0.001, 0.004)","-0.002
(-0.006, 0.002)","0.001
(-0.001, 0.003)"
"% self-employed workers","-0.005
(-0.013, 0.002)","0.004
(-0.002, 0.01)","0.0
(-0.003, 0.003)","0.001
(-0.004, 0.005)","0.001
(-0.002, 0.004)"
"Unemployment rate","-0.008
(-0.017, 0.002)","-0.0
(-0.004, 0.003)","0.0
(-0.002, 0.003)","-0.006
(-0.01, -0.002)","0.0
(-0.002, 0.002)"
"% commerce workers","-0.0
(-0.007, 0.007)","0.001
(-0.004, 0.006)","0.001
(-0.002, 0.004)","0.002
(-0.002, 0.005)","-0.003
(-0.005, 0.0)"
"% service workers","0.0
(-0.013, 0.014)","0.003
(-0.003, 0.008)","0.002
(-0.001, 0.005)","0.002
(-0.002, 0.007)","-0.001
(-0.005, 0.002)"
"% industry workers","-0.004
(-0.015, 0.006)","0.001
(-0.004, 0.007)","0.0
(-0.002, 0.003)","0.003
(-0.002, 0.007)","-0.0
(-0.003, 0.003)"
"Expected years of 
Schooling at age 18","-0.004
(-0.013, 0.004)","0.001
(-0.003, 0.006)","-0.0
(-0.003, 0.002)","0.003
(-0.002, 0.007)","0.001
(-0.002, 0.004)"
"Δi,t","-0.008
(-0.024, 0.007)","-0.003
(-0.01, 0.005)","-0.002
(-0.006, 0.003)","-0.008
(-0.029, 0.014)","0.001
(-0.002, 0.003)"
