model_id,statistic_difference,2020 (first half),2020,2021,2022,2020-2022
9,$R_{CS}^{2}$,"-0.001
(-0.004, 0.002)","-0.0
(-0.002, 0.001)","0.003
(-0.001, 0.007)","-0.001
(-0.005, 0.004)","0.003
(-0.003, 0.009)"
10,$R_{CS}^{2}$,"0.003
(-0.001, 0.006)","0.002
(-0.001, 0.005)","-0.004
(-0.009, 0.001)","-0.005
(-0.011, 0.001)","0.0
(-0.004, 0.004)"
9,$R_{McF}^{2}$,"-0.0
(-0.001, 0.001)","-0.0
(-0.0, 0.0)","0.001
(-0.0, 0.001)","-0.0
(-0.001, 0.001)","0.001
(-0.001, 0.002)"
10,$R_{McF}^{2}$,"0.001
(-0.0, 0.002)","0.0
(-0.0, 0.001)","-0.001
(-0.003, 0.0)","-0.002
(-0.004, 0.0)","0.0
(-0.001, 0.001)"
9,LL,"40.952
(-15.481, 97.384)","2.851
(-43.847, 49.55)","-37.886
(-70.282, -5.49)","14.376
(-28.49, 57.241)","-2.734
(-45.532, 40.063)"
10,LL,"-5.764
(-53.605, 42.077)","11.607
(-29.671, 52.885)","-23.684
(-56.712, 9.344)","-17.178
(-49.803, 15.446)","43.365
(9.003, 77.728)"
9,AIC,"-81.903
(-194.768, 30.961)","-5.703
(-99.1, 87.694)","75.773
(10.981, 140.565)","-28.751
(-114.483, 56.98)","5.468
(-80.127, 91.063)"
10,AIC,"11.528
(-84.155, 107.21)","-23.214
(-105.77, 59.342)","47.369
(-18.688, 113.425)","34.357
(-30.893, 99.606)","-86.731
(-155.456, -18.006)"
9,BIC,"-81.903
(-194.768, 30.961)","-5.703
(-99.1, 87.694)","75.773
(10.981, 140.565)","-28.751
(-114.483, 56.98)","5.468
(-80.127, 91.063)"
10,BIC,"11.528
(-84.155, 107.21)","-23.214
(-105.77, 59.342)","47.369
(-18.688, 113.425)","34.357
(-30.893, 99.606)","-86.731
(-155.456, -18.006)"
