municipality_id,municipality,density_median
110001,Alta Floresta D'Oeste (RO),1662.2
110002,Ariquemes (RO),3418.085
110003,Cabixi (RO),1566.77
110004,Cacoal (RO),2695.1
110005,Cerejeiras (RO),1956.175
110006,Colorado do Oeste (RO),1450.64
110007,Corumbiara (RO),1496.02
110008,Costa Marques (RO),1512.97
110009,Espigão D'Oeste (RO),2213.3050000000003
110010,Guajará-Mirim (RO),1935.8
110011,Jaru (RO),2816.485
110012,Ji-Paraná (RO),2944.31
110013,Machadinho D'Oeste (RO),1751.375
110014,Nova Brasilândia D'Oeste (RO),1353.57
110015,Ouro Preto do Oeste (RO),3072.41
110018,Pimenta Bueno (RO),2437.66
110020,Porto Velho (RO),4458.6
110025,Presidente Médici (RO),2013.9299999999998
110026,Rio Crespo (RO),1653.51
110028,Rolim de Moura (RO),2369.455
110029,Santa Luzia D'Oeste (RO),1666.33
110030,Vilhena (RO),3085.81
110032,São Miguel do Guaporé (RO),1683.49
110033,Nova Mamoré (RO),1014.14
110034,Alvorada D'Oeste (RO),1649.34
110037,Alto Alegre dos Parecis (RO),1591.48
110040,Alto Paraíso (RO),2044.795
110045,Buritis (RO),2641.16
110050,Novo Horizonte do Oeste (RO),1386.6
110060,Cacaulândia (RO),1451.385
110070,Campo Novo de Rondônia (RO),1314.495
110080,Candeias do Jamari (RO),2779.84
110090,Castanheiras (RO),1007.41
110092,Chupinguaia (RO),1344.45
110094,Cujubim (RO),1950.18
110100,Governador Jorge Teixeira (RO),1140.525
110110,Itapuã do Oeste (RO),1741.7
110120,Ministro Andreazza (RO),2352.1
110130,Mirante da Serra (RO),1260.9650000000001
110140,Monte Negro (RO),2007.32
110143,Nova União (RO),1679.105
110145,Parecis (RO),971.835
110146,Pimenteiras do Oeste (RO),1121.37
110147,Primavera de Rondônia (RO),1054.51
110148,São Felipe D'Oeste (RO),1435.54
110149,São Francisco do Guaporé (RO),1518.92
110150,Seringueiras (RO),1503.07
110155,Teixeirópolis (RO),1507.6
110160,Theobroma (RO),1044.13
110170,Urupá (RO),1193.59
110175,Vale do Anari (RO),1267.7
110180,Vale do Paraíso (RO),1561.3200000000002
120001,Acrelândia (AC),1761.73
120005,Assis Brasil (AC),2295.92
120010,Brasiléia (AC),2660.56
120013,Bujari (AC),781.45
120017,Capixaba (AC),2449.13
120020,Cruzeiro do Sul (AC),3372.37
120025,Epitaciolândia (AC),2191.74
120030,Feijó (AC),3041.605
120032,Jordão (AC),2046.27
120033,Mâncio Lima (AC),631.33
120034,Manoel Urbano (AC),2819.34
120035,Marechal Thaumaturgo (AC),3770.9849999999997
120038,Plácido de Castro (AC),2037.69
120039,Porto Walter (AC),2123.42
120040,Rio Branco (AC),4392.59
120042,Rodrigues Alves (AC),2765.76
120043,Santa Rosa do Purus (AC),1830.13
120045,Senador Guiomard (AC),3630.98
120050,Sena Madureira (AC),3514.29
120060,Tarauacá (AC),3508.145
120070,Xapuri (AC),2780.81
120080,Porto Acre (AC),1283.56
130002,Alvarães (AM),4840.43
130006,Amaturá (AM),1577.09
130008,Anamã (AM),3771.9
130010,Anori (AM),4262.13
130014,Apuí (AM),1798.685
130020,Atalaia do Norte (AM),4343.7
